UnderlyingName,OptionType,ContractMonth,StrikePrice,Col5,CallSecurityCode,CallBid,CallAsk,CallClose,TheoreticalPrice,PutSecurityCode,PutBid,PutAsk,UnderlyingClose,IV,BaseVolatility,Delta,ContractMonthDt
NK225E    ,OOP,202606,12500.0,            ,181062518,0000001.0000,0000000.0,1.11,1.800558,191062518,0000000.0000,0000000.0,48059.11,3.2,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,12750.0,            ,181062718,0000000.0000,0000000.0,1.09,1.778232,191062718,0000000.0000,0000000.0,47809.24,3.2,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,13000.0,            ,181063018,0000000.0000,0000000.0,1.07,1.756354,191063018,0000000.0000,0000000.0,47559.37,3.2,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,13250.0,            ,181063218,0000000.0000,0000000.0,1.06,1.734906,191063218,0000000.0000,0000000.0,47309.51,3.2,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,13500.0,            ,181063518,0000000.0000,0000000.0,1.05,1.713871,191063518,0000000.0000,0000000.0,47059.65,3.2,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,13750.0,            ,181063718,0000000.0000,0000000.0,1.04,1.693233,191063718,0000000.0000,0000000.0,46809.79,3.171656,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,14000.0,            ,181064018,0000000.0000,0000000.0,1.04,1.672978,191064018,0000000.0000,0000000.0,46559.94,3.133796,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,14250.0,            ,181064218,0000000.0000,0000000.0,1.04,1.653091,191064218,0000000.0000,0000000.0,46310.09,3.096678,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,14500.0,            ,181064518,0000000.0000,0000000.0,1.05,1.633561,191064518,0000000.0000,0000000.0,46060.24,3.060272,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,14750.0,            ,181064718,0000000.0000,0000000.0,1.05,1.614373,191064718,0000000.0000,0000000.0,45810.39,3.024553,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,15000.0,            ,181065018,0000000.0000,0000000.0,1.06,1.595516,191065018,0000000.0000,0000000.0,45560.55,2.989496,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,15250.0,            ,181065218,0000000.0000,0000000.0,1.07,1.57698,191065218,0000000.0000,0000000.0,45310.71,2.955075,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,15500.0,            ,181065518,0000000.0000,0000000.0,1.09,1.558752,191065518,0000000.0000,0000000.0,45060.88,2.930193,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,15750.0,            ,181065718,0000000.0000,0000000.0,1.11,1.540824,191065718,0000000.0000,0000000.0,44811.04,2.896884,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,16000.0,            ,181066018,0000001.0000,0000000.0,1.13,1.523184,191066018,0000000.0000,0000000.0,44561.21,2.86415,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,16250.0,            ,181066218,0000001.0000,0000000.0,0.98,1.504544,191066218,0000000.0000,0000000.0,44311.21,2.82333,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,16500.0,            ,181066518,0000000.0000,0000000.0,0.97,1.485771,191066518,0000000.0000,0000000.0,44061.35,2.791778,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,16750.0,            ,181066718,0000000.0000,0000000.0,0.95,1.467563,191066718,0000000.0000,0000000.0,43811.48,2.760744,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,17000.0,            ,181067018,0000000.0000,0000000.0,0.94,1.449855,191067018,0000000.0000,0000000.0,43561.62,2.73021,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,17250.0,            ,181067218,0000000.0000,0000000.0,0.93,1.432679,191067218,0000000.0000,0000000.0,43311.76,2.70845,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,17500.0,            ,181067518,0000000.0000,0000000.0,0.93,1.416003,191067518,0000000.0000,0000000.0,43061.9,2.678787,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,17750.0,            ,131067718,0000000.0000,0000000.0,0.92,1.399793,141067718,0000000.0000,0000000.0,42812.04,2.649577,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,18000.0,            ,131068018,0000000.0000,0000000.0,0.92,1.384015,141068018,0000000.0000,0000000.0,42562.19,2.620814,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,18250.0,            ,131068218,0000000.0000,0000000.0,0.92,1.36867,141068218,0000000.0000,0000000.0,42312.34,2.592478,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,18500.0,            ,131068518,0000000.0000,0000000.0,0.92,1.353758,141068518,0000000.0000,0000000.0,42062.49,2.564559,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,18750.0,            ,131068718,0000000.0000,0000000.0,0.93,1.339245,141068718,0000000.0000,0000000.0,41812.64,2.537043,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,19000.0,            ,131069018,0000000.0000,0000000.0,0.93,1.325099,141069018,0000000.0000,0000000.0,41562.79,2.50992,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,19250.0,            ,131069218,0000000.0000,0000000.0,0.94,1.311318,141069218,0000000.0000,0000000.0,41312.95,2.483178,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,19500.0,            ,131069518,0000000.0000,0000000.0,0.95,1.297904,141069518,0000000.0000,0000000.0,41063.11,2.456807,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,19750.0,            ,131069718,0000000.0000,0000000.0,0.96,1.284823,141069718,0000000.0000,0000000.0,40813.27,2.430796,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,20000.0,            ,131060018,0000001.0000,0000000.0,0.98,1.272074,141060018,0000000.0000,0000000.0,40563.43,2.405135,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,20250.0,            ,131060218,0000001.0000,0000000.0,0.98,1.258392,141060218,0000000.0000,0000000.0,40313.58,2.379815,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,20500.0,            ,131060518,0000000.0000,0000000.0,0.98,1.244943,141060518,0000000.0000,0000000.0,40063.73,2.354826,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,20750.0,            ,131060718,0000000.0000,0000000.0,0.98,1.231826,141060718,0000000.0000,0000000.0,39813.88,2.33016,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,21000.0,            ,131061018,0000001.0000,0000000.0,0.98,1.218532,141061018,0000000.0000,0000000.0,39564.04,2.305809,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,21250.0,            ,131061218,0000000.0000,0000000.0,1.03,1.206304,141061218,0000000.0000,0000000.0,39314.23,2.281763,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,21500.0,            ,131061518,0000000.0000,0000000.0,1.08,1.199866,141061518,0000000.0000,0000000.0,39064.42,2.258016,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,21750.0,            ,131061718,0000000.0000,0000000.0,1.12,1.190594,141061718,0000000.0000,0000000.0,38814.62,2.23456,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,22000.0,            ,131062018,0000001.0000,0000000.0,0.99,1.22916,141062018,0000000.0000,0000000.0,38564.82,2.211388,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,22250.0,            ,131062218,0000000.0000,0000000.0,1.2,1.170617,141062218,0000000.0000,0000000.0,38314.99,2.188492,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,22500.0,            ,131062518,0000000.0000,0000000.0,1.23,1.159895,141062518,0000000.0000,0000000.0,38065.16,2.165865,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,22750.0,            ,131062718,0000000.0000,0000000.0,1.26,1.149457,141062718,0000000.0000,0000000.0,37815.34,2.143502,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,23000.0,            ,131063018,0000001.0000,0000000.0,1.29,1.139232,141063018,0000000.0000,0000000.0,37565.52,2.121396,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,23250.0,            ,131063218,0000000.0000,0000000.0,1.33,1.129218,141063218,0000000.0000,0000000.0,37315.71,2.09954,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,23500.0,            ,131063518,0000001.0000,0000000.0,1.36,1.119417,141063518,0000000.0000,0000000.0,37065.89,2.07793,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,23750.0,            ,131063718,0000001.0000,0000000.0,1.4,1.109793,141063718,0000000.0000,0000000.0,36816.08,2.056559,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,24000.0,            ,131064018,0000001.0000,0000000.0,1.59,1.108119,141064018,0000000.0000,0000000.0,36566.28,2.041793,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,24250.0,            ,131064218,0000000.0000,0000000.0,1.58,1.095737,141064218,0000000.0000,0000000.0,36316.46,2.020828,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,24500.0,            ,131064518,0000000.0000,0000000.0,1.59,1.084523,141064518,0000000.0000,0000000.0,36066.61,2.000087,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,24750.0,            ,131064718,0000000.0000,0000000.0,2.11,1.09151,141064718,0000000.0000,0000000.0,35816.76,1.979564,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,25000.0,            ,131065018,0000001.0000,0000000.0,1.59,1.061405,141065018,0000000.0000,0000000.0,35566.91,1.959256,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,25250.0,            ,131065218,0000000.0000,0000000.0,2.11,1.068141,141065218,0000000.0000,0000000.0,35317.06,1.939157,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,25500.0,            ,131065518,0000000.0000,0000000.0,2.11,1.056629,141065518,0000000.0000,0000000.0,35067.2,1.919262,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,25750.0,            ,131065718,0000000.0000,0000000.0,2.11,1.045229,141065718,0000000.0000,0000000.0,34817.35,1.899568,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,26000.0,            ,131066018,0000000.0000,0000000.0,1.6,1.016522,141066018,0000000.0000,0000000.0,34567.61,1.88007,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,26250.0,            ,131066218,0000000.0000,0000000.0,2.12,1.022756,141066218,0000000.0000,0000000.0,34317.88,1.860764,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,26500.0,            ,131066518,0000000.0000,0000000.0,1.6,0.994722,141066518,0000000.0000,0000000.0,34068.16,1.841645,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,26750.0,            ,131066718,0000000.0000,0000000.0,2.12,1.000705,141066718,0000000.0000,0000000.0,33818.44,1.822711,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,27000.0,            ,131067018,0000002.0000,0000000.0,2.66,1.012905,141067018,0000000.0000,0000000.0,33568.83,1.803956,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,27250.0,            ,131067218,0000000.0000,0000000.0,2.65,1.001413,141067218,0000000.0000,0000000.0,33319.24,1.785378,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,27500.0,            ,131067518,0000000.0000,0000000.0,2.14,0.973664,141067518,0000000.0000,0000000.0,33069.38,1.766973,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,27750.0,            ,181067718,0000000.0000,0000000.0,3.18,0.989667,191067718,0000000.0000,0000000.0,32819.53,1.748737,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,28000.0,            ,181068018,0000003.0000,0000000.0,2.14,0.952606,191068018,0000000.0000,0000000.0,32569.68,1.730667,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,28250.0,            ,181068218,0000000.0000,0000000.0,3.18,0.968149,191068218,0000000.0000,0000000.0,32319.83,1.71276,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,28500.0,            ,181068518,0000000.0000,0000000.0,3.21,0.95753,191068518,0000000.0000,0000000.0,32070.13,1.695012,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,28750.0,            ,181068718,0000000.0000,0000000.0,3.74,0.964852,191068718,0000000.0000,0000000.0,31820.44,1.67742,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,29000.0,            ,181069018,0000003.0000,0000000.0,3.21,0.942011,191069018,0000000.0000,0000000.0,31570.77,1.659981,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,29250.0,            ,181069218,0000003.0000,0000000.0,3.19,0.931111,191069218,0000000.0000,0000000.0,31321.07,1.642693,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,29500.0,            ,181069518,0000003.0000,0000000.0,3.22,0.921408,191069518,0000000.0000,0000000.0,31071.39,1.630776,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,29750.0,            ,181069718,0000003.0000,0000000.0,4.25,0.92824,191069718,0000000.0000,0000000.0,30821.71,1.613735,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,30000.0,            ,181060018,0000004.0000,0000000.0,3.75,0.912941,191060018,0000000.0000,0000000.0,30572.02,1.596837,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,30250.0,            ,181060218,0000000.0000,0000000.0,4.25,0.907678,191060218,0000000.0000,0000000.0,30322.33,1.580078,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,30500.0,            ,181060518,0000000.0000,0000000.0,4.26,0.897522,191060518,0000000.0000,0000000.0,30072.65,1.563456,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,30750.0,            ,181060718,0000000.0000,0000000.0,5.32,0.905166,191060718,0000000.0000,0000000.0,29823.3,1.546968,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,31000.0,            ,181061018,0000005.0000,0000000.0,4.83,0.892235,191061018,0000000.0000,0000000.0,29573.45,1.530613,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,31250.0,            ,181061218,0000000.0000,0000000.0,5.32,0.884892,191061218,0000000.0000,0000000.0,29323.75,1.514386,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,31500.0,            ,181061518,0000005.0000,0000000.0,5.33,0.874873,191061518,0000000.0000,0000000.0,29074.06,1.498287,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,31750.0,            ,181061718,0000000.0000,0000000.0,5.33,0.86493,191061718,0000000.0000,0000000.0,28824.39,1.482312,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,32000.0,            ,181062018,0000005.0000,0000000.0,4.31,0.843845,191062018,0000000.0000,0000000.0,28574.54,1.46646,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,32250.0,            ,181062218,0000000.0000,0000000.0,6.39,0.85954,191062218,0000000.0000,0000000.0,28325.18,1.450728,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,32500.0,            ,131182518,0000005.0000,0000000.0,6.4,0.849673,141182518,0000000.0000,0000000.0,28075.33,1.435115,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,32750.0,            ,131182718,0000005.0000,0000000.0,6.4,0.839879,141182718,0000000.0000,0000000.0,27825.97,1.419617,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,33000.0,            ,131183018,0000007.0000,0000000.0,7.46,0.842332,141183018,0000000.0000,0000000.0,27576.12,1.408827,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,33250.0,            ,131183218,0000000.0000,0000000.0,7.47,0.832553,141183218,0000000.0000,0000000.0,27326.77,1.393516,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,33500.0,            ,131183518,0000000.0000,0000000.0,7.48,0.822844,141183518,0000000.0000,0000000.0,27076.91,1.378315,60550.59,0.2912,2026-06-01
NK225E    ,OOP,202606,33750.0,            ,131183718,0000000.0000,0000000.0,8.54,0.823793,141183718,0000000.0000,0000000.0,26827.56,1.363222,60550.59,0.2912,2026-06-01
