UnderlyingName,OptionType,ContractMonth,StrikePrice,Col5,CallSecurityCode,CallBid,CallAsk,CallClose,TheoreticalPrice,PutSecurityCode,PutBid,PutAsk,UnderlyingClose,IV,BaseVolatility,Delta,ContractMonthDt
NK225E    ,OOP,202606,12500.0,            ,181062518,0000000.0000,0000000.0,0.01,2.782108,191062518,0000000.0000,0000000.0,54089.85,3.2,66588.12,0.2806,2026-06-01
NK225E    ,OOP,202606,12750.0,            ,181062718,0000000.0000,0000000.0,0.02,2.782108,191062718,0000000.0000,0000000.0,53839.89,3.2,66588.12,0.2806,2026-06-01
NK225E    ,OOP,202606,13000.0,            ,181063018,0000000.0000,0000000.0,0.02,2.782108,191063018,0000000.0000,0000000.0,53589.93,3.2,66588.12,0.2806,2026-06-01
NK225E    ,OOP,202606,13250.0,            ,181063218,0000000.0000,0000000.0,0.03,2.782108,191063218,0000000.0000,0000000.0,53339.97,3.2,66588.12,0.2806,2026-06-01
NK225E    ,OOP,202606,13500.0,            ,181063518,0000000.0000,0000000.0,0.04,2.782108,191063518,0000000.0000,0000000.0,53090.02,3.2,66588.12,0.2806,2026-06-01
NK225E    ,OOP,202606,13750.0,            ,181063718,0000000.0000,0000000.0,0.05,2.782108,191063718,0000000.0000,0000000.0,52840.06,3.2,66588.12,0.2806,2026-06-01
NK225E    ,OOP,202606,14000.0,            ,181064018,0000000.0000,0000000.0,0.06,2.782108,191064018,0000000.0000,0000000.0,52590.11,3.2,66588.12,0.2806,2026-06-01
NK225E    ,OOP,202606,14250.0,            ,181064218,0000000.0000,0000000.0,0.08,2.782108,191064218,0000000.0000,0000000.0,52340.16,3.2,66588.12,0.2806,2026-06-01
NK225E    ,OOP,202606,14500.0,            ,181064518,0000000.0000,0000000.0,0.1,2.782108,191064518,0000000.0000,0000000.0,52090.21,3.2,66588.12,0.2806,2026-06-01
NK225E    ,OOP,202606,14750.0,            ,181064718,0000000.0000,0000000.0,0.12,2.782108,191064718,0000000.0000,0000000.0,51840.27,3.2,66588.12,0.2806,2026-06-01
NK225E    ,OOP,202606,15000.0,            ,181065018,0000000.0000,0000000.0,0.15,2.782108,191065018,0000000.0000,0000000.0,51590.33,3.2,66588.12,0.2806,2026-06-01
NK225E    ,OOP,202606,15250.0,            ,181065218,0000000.0000,0000000.0,0.18,2.782108,191065218,0000000.0000,0000000.0,51340.4,3.2,66588.12,0.2806,2026-06-01
NK225E    ,OOP,202606,15500.0,            ,181065518,0000000.0000,0000000.0,0.22,2.782108,191065518,0000000.0000,0000000.0,51090.47,3.2,66588.12,0.2806,2026-06-01
NK225E    ,OOP,202606,15750.0,            ,181065718,0000000.0000,0000000.0,0.26,2.782108,191065718,0000000.0000,0000000.0,50840.55,3.2,66588.12,0.2806,2026-06-01
NK225E    ,OOP,202606,16000.0,            ,181066018,0000000.0000,0000000.0,0.31,2.782108,191066018,0000000.0000,0000000.0,50590.64,3.2,66588.12,0.2806,2026-06-01
NK225E    ,OOP,202606,16250.0,            ,181066218,0000000.0000,0000000.0,0.37,2.782108,191066218,0000000.0000,0000000.0,50340.73,3.2,66588.12,0.2806,2026-06-01
NK225E    ,OOP,202606,16500.0,            ,181066518,0000000.0000,0000000.0,0.44,2.782108,191066518,0000000.0000,0000000.0,50090.84,3.2,66588.12,0.2806,2026-06-01
NK225E    ,OOP,202606,16750.0,            ,181066718,0000000.0000,0000000.0,0.53,2.782108,191066718,0000000.0000,0000000.0,49840.95,3.2,66588.12,0.2806,2026-06-01
NK225E    ,OOP,202606,17000.0,            ,181067018,0000000.0000,0000000.0,0.62,2.782108,191067018,0000000.0000,0000000.0,49591.08,3.2,66588.12,0.2806,2026-06-01
NK225E    ,OOP,202606,17250.0,            ,181067218,0000000.0000,0000000.0,0.73,2.782108,191067218,0000000.0000,0000000.0,49341.23,3.2,66588.12,0.2806,2026-06-01
NK225E    ,OOP,202606,17500.0,            ,181067518,0000000.0000,0000000.0,0.85,2.782108,191067518,0000000.0000,0000000.0,49091.38,3.2,66588.12,0.2806,2026-06-01
NK225E    ,OOP,202606,17750.0,            ,131067718,0000000.0000,0000000.0,0.99,2.782108,141067718,0000000.0000,0000000.0,48841.56,3.2,66588.12,0.2806,2026-06-01
NK225E    ,OOP,202606,18000.0,            ,131068018,0000001.0000,0000000.0,1.15,2.753976,141068018,0000000.0000,0000000.0,48591.75,3.2,66588.12,0.2806,2026-06-01
NK225E    ,OOP,202606,18250.0,            ,131068218,0000000.0000,0000000.0,1.14,2.725577,141068218,0000000.0000,0000000.0,48341.78,3.2,66588.12,0.2806,2026-06-01
NK225E    ,OOP,202606,18500.0,            ,131068518,0000000.0000,0000000.0,1.14,2.697574,141068518,0000000.0000,0000000.0,48091.81,3.2,66588.12,0.2806,2026-06-01
NK225E    ,OOP,202606,18750.0,            ,131068718,0000000.0000,0000000.0,1.13,2.669954,141068718,0000000.0000,0000000.0,47841.84,3.2,66588.12,0.2806,2026-06-01
NK225E    ,OOP,202606,19000.0,            ,131069018,0000000.0000,0000000.0,1.13,2.642708,141069018,0000000.0000,0000000.0,47591.87,3.2,66588.12,0.2806,2026-06-01
NK225E    ,OOP,202606,19250.0,            ,131069218,0000000.0000,0000000.0,1.13,2.615825,141069218,0000000.0000,0000000.0,47341.91,3.2,66588.12,0.2806,2026-06-01
NK225E    ,OOP,202606,19500.0,            ,131069518,0000000.0000,0000000.0,1.14,2.589297,141069518,0000000.0000,0000000.0,47091.94,3.2,66588.12,0.2806,2026-06-01
NK225E    ,OOP,202606,19750.0,            ,131069718,0000000.0000,0000000.0,1.14,2.563112,141069718,0000000.0000,0000000.0,46841.98,3.2,66588.12,0.2806,2026-06-01
NK225E    ,OOP,202606,20000.0,            ,131060018,0000000.0000,0000000.0,1.15,2.537264,141060018,0000000.0000,0000000.0,46592.03,3.2,66588.12,0.2806,2026-06-01
NK225E    ,OOP,202606,20250.0,            ,131060218,0000000.0000,0000000.0,1.16,2.511742,141060218,0000000.0000,0000000.0,46342.07,3.2,66588.12,0.2806,2026-06-01
NK225E    ,OOP,202606,20500.0,            ,131060518,0000000.0000,0000000.0,1.17,2.486539,141060518,0000000.0000,0000000.0,46092.11,3.2,66588.12,0.2806,2026-06-01
NK225E    ,OOP,202606,20750.0,            ,131060718,0000000.0000,0000000.0,1.15,2.461646,141060718,0000000.0000,0000000.0,45842.13,3.2,66588.12,0.2806,2026-06-01
NK225E    ,OOP,202606,21000.0,            ,131061018,0000000.0000,0000000.0,1.13,2.437057,141061018,0000000.0000,0000000.0,45592.14,3.2,66588.12,0.2806,2026-06-01
NK225E    ,OOP,202606,21250.0,            ,131061218,0000000.0000,0000000.0,1.11,2.412763,141061218,0000000.0000,0000000.0,45342.16,3.2,66588.12,0.2806,2026-06-01
NK225E    ,OOP,202606,21500.0,            ,131061518,0000000.0000,0000000.0,1.1,2.388758,141061518,0000000.0000,0000000.0,45092.18,3.2,66588.12,0.2806,2026-06-01
NK225E    ,OOP,202606,21750.0,            ,131061718,0000000.0000,0000000.0,1.09,2.365034,141061718,0000000.0000,0000000.0,44842.2,3.2,66588.12,0.2806,2026-06-01
NK225E    ,OOP,202606,22000.0,            ,131062018,0000000.0000,0000000.0,1.08,2.341585,141062018,0000000.0000,0000000.0,44592.23,3.2,66588.12,0.2806,2026-06-01
NK225E    ,OOP,202606,22250.0,            ,131062218,0000000.0000,0000000.0,1.07,2.318405,141062218,0000000.0000,0000000.0,44342.25,3.2,66588.12,0.2806,2026-06-01
NK225E    ,OOP,202606,22500.0,            ,131062518,0000000.0000,0000000.0,1.06,2.295487,141062518,0000000.0000,0000000.0,44092.28,3.2,66588.12,0.2806,2026-06-01
NK225E    ,OOP,202606,22750.0,            ,131062718,0000000.0000,0000000.0,1.05,2.272826,141062718,0000000.0000,0000000.0,43842.31,3.2,66588.12,0.2806,2026-06-01
NK225E    ,OOP,202606,23000.0,            ,131063018,0000000.0000,0000000.0,1.05,2.250415,141063018,0000000.0000,0000000.0,43592.34,3.2,66588.12,0.2806,2026-06-01
NK225E    ,OOP,202606,23250.0,            ,131063218,0000000.0000,0000000.0,1.05,2.228249,141063218,0000000.0000,0000000.0,43342.37,3.2,66588.12,0.2806,2026-06-01
NK225E    ,OOP,202606,23500.0,            ,131063518,0000000.0000,0000000.0,1.05,2.206322,141063518,0000000.0000,0000000.0,43092.41,3.2,66588.12,0.2806,2026-06-01
NK225E    ,OOP,202606,23750.0,            ,131063718,0000000.0000,0000000.0,1.05,2.18463,141063718,0000000.0000,0000000.0,42842.44,3.2,66588.12,0.2806,2026-06-01
NK225E    ,OOP,202606,24000.0,            ,131064018,0000000.0000,0000000.0,1.05,2.163167,141064018,0000000.0000,0000000.0,42592.48,3.2,66588.12,0.2806,2026-06-01
NK225E    ,OOP,202606,24250.0,            ,131064218,0000000.0000,0000000.0,1.06,2.141928,141064218,0000000.0000,0000000.0,42342.52,3.2,66588.12,0.2806,2026-06-01
NK225E    ,OOP,202606,24500.0,            ,131064518,0000000.0000,0000000.0,1.06,2.120909,141064518,0000000.0000,0000000.0,42092.56,3.2,66588.12,0.2806,2026-06-01
NK225E    ,OOP,202606,24750.0,            ,131064718,0000000.0000,0000000.0,1.07,2.100105,141064718,0000000.0000,0000000.0,41842.6,3.2,66588.12,0.2806,2026-06-01
NK225E    ,OOP,202606,25000.0,            ,131065018,0000000.0000,0000000.0,1.08,2.079511,141065018,0000000.0000,0000000.0,41592.64,3.170397,66588.12,0.2806,2026-06-01
NK225E    ,OOP,202606,25250.0,            ,131065218,0000000.0000,0000000.0,1.09,2.059123,141065218,0000000.0000,0000000.0,41342.69,3.140073,66588.12,0.2806,2026-06-01
NK225E    ,OOP,202606,25500.0,            ,131065518,0000000.0000,0000000.0,1.1,2.038938,141065518,0000000.0000,0000000.0,41092.73,3.110056,66588.12,0.2806,2026-06-01
NK225E    ,OOP,202606,25750.0,            ,131065718,0000000.0000,0000000.0,1.11,2.01895,141065718,0000000.0000,0000000.0,40842.78,3.08034,66588.12,0.2806,2026-06-01
NK225E    ,OOP,202606,26000.0,            ,131066018,0000000.0000,0000000.0,1.13,1.999155,141066018,0000000.0000,0000000.0,40592.83,3.050917,66588.12,0.2806,2026-06-01
