UnderlyingName,OptionType,ContractMonth,StrikePrice,Col5,CallSecurityCode,CallBid,CallAsk,CallClose,TheoreticalPrice,PutSecurityCode,PutBid,PutAsk,UnderlyingClose,IV,BaseVolatility,Delta,ContractMonthDt
NK225E    ,OOP,202606,12500.0,            ,181062518,0000000.0000,0000000.0,0.0,2.552351,191062518,0000000.0000,0000000.0,52917.36,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,12750.0,            ,181062718,0000000.0000,0000000.0,0.0,2.552351,191062718,0000000.0000,0000000.0,52667.38,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,13000.0,            ,181063018,0000000.0000,0000000.0,0.0,2.552351,191063018,0000000.0000,0000000.0,52417.39,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,13250.0,            ,181063218,0000000.0000,0000000.0,0.0,2.552351,191063218,0000000.0000,0000000.0,52167.41,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,13500.0,            ,181063518,0000000.0000,0000000.0,0.0,2.552351,191063518,0000000.0000,0000000.0,51917.42,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,13750.0,            ,181063718,0000000.0000,0000000.0,0.0,2.552351,191063718,0000000.0000,0000000.0,51667.44,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,14000.0,            ,181064018,0000000.0000,0000000.0,0.0,2.552351,191064018,0000000.0000,0000000.0,51417.45,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,14250.0,            ,181064218,0000000.0000,0000000.0,0.0,2.552351,191064218,0000000.0000,0000000.0,51167.47,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,14500.0,            ,181064518,0000000.0000,0000000.0,0.0,2.552351,191064518,0000000.0000,0000000.0,50917.48,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,14750.0,            ,181064718,0000000.0000,0000000.0,0.0,2.552351,191064718,0000000.0000,0000000.0,50667.5,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,15000.0,            ,181065018,0000000.0000,0000000.0,0.0,2.552351,191065018,0000000.0000,0000000.0,50417.51,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,15250.0,            ,181065218,0000000.0000,0000000.0,0.0,2.552351,191065218,0000000.0000,0000000.0,50167.53,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,15500.0,            ,181065518,0000000.0000,0000000.0,0.0,2.552351,191065518,0000000.0000,0000000.0,49917.54,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,15750.0,            ,181065718,0000000.0000,0000000.0,0.0,2.552351,191065718,0000000.0000,0000000.0,49667.56,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,16000.0,            ,181066018,0000000.0000,0000000.0,0.0,2.552351,191066018,0000000.0000,0000000.0,49417.57,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,16250.0,            ,181066218,0000000.0000,0000000.0,0.0,2.552351,191066218,0000000.0000,0000000.0,49167.58,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,16500.0,            ,181066518,0000000.0000,0000000.0,0.0,2.552351,191066518,0000000.0000,0000000.0,48917.6,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,16750.0,            ,181066718,0000000.0000,0000000.0,0.0,2.552351,191066718,0000000.0000,0000000.0,48667.61,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,17000.0,            ,181067018,0000000.0000,0000000.0,0.0,2.552351,191067018,0000000.0000,0000000.0,48417.63,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,17250.0,            ,181067218,0000000.0000,0000000.0,0.0,2.552351,191067218,0000000.0000,0000000.0,48167.64,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,17500.0,            ,181067518,0000000.0000,0000000.0,0.0,2.552351,191067518,0000000.0000,0000000.0,47917.66,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,17750.0,            ,131067718,0000000.0000,0000000.0,0.0,2.552351,141067718,0000000.0000,0000000.0,47667.67,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,18000.0,            ,131068018,0000000.0000,0000000.0,0.0,2.552351,141068018,0000000.0000,0000000.0,47417.69,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,18250.0,            ,131068218,0000000.0000,0000000.0,0.0,2.552351,141068218,0000000.0000,0000000.0,47167.7,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,18500.0,            ,131068518,0000000.0000,0000000.0,0.0,2.552351,141068518,0000000.0000,0000000.0,46917.72,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,18750.0,            ,131068718,0000000.0000,0000000.0,0.0,2.552351,141068718,0000000.0000,0000000.0,46667.73,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,19000.0,            ,131069018,0000000.0000,0000000.0,0.0,2.552351,141069018,0000000.0000,0000000.0,46417.75,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,19250.0,            ,131069218,0000000.0000,0000000.0,0.0,2.552351,141069218,0000000.0000,0000000.0,46167.76,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,19500.0,            ,131069518,0000000.0000,0000000.0,0.0,2.552351,141069518,0000000.0000,0000000.0,45917.78,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,19750.0,            ,131069718,0000000.0000,0000000.0,0.0,2.552351,141069718,0000000.0000,0000000.0,45667.79,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,20000.0,            ,131060018,0000000.0000,0000000.0,0.0,2.552351,141060018,0000000.0000,0000000.0,45417.81,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,20250.0,            ,131060218,0000000.0000,0000000.0,0.0,2.552351,141060218,0000000.0000,0000000.0,45167.82,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,20500.0,            ,131060518,0000000.0000,0000000.0,0.0,2.552351,141060518,0000000.0000,0000000.0,44917.84,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,20750.0,            ,131060718,0000000.0000,0000000.0,0.0,2.552351,141060718,0000000.0000,0000000.0,44667.85,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,21000.0,            ,131061018,0000000.0000,0000000.0,0.0,2.552351,141061018,0000000.0000,0000000.0,44417.87,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,21250.0,            ,131061218,0000000.0000,0000000.0,0.0,2.552351,141061218,0000000.0000,0000000.0,44167.88,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,21500.0,            ,131061518,0000000.0000,0000000.0,0.0,2.552351,141061518,0000000.0000,0000000.0,43917.9,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,21750.0,            ,131061718,0000000.0000,0000000.0,0.0,2.552351,141061718,0000000.0000,0000000.0,43667.91,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,22000.0,            ,131062018,0000000.0000,0000000.0,0.0,2.552351,141062018,0000000.0000,0000000.0,43417.93,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,22250.0,            ,131062218,0000000.0000,0000000.0,0.0,2.552351,141062218,0000000.0000,0000000.0,43167.94,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,22500.0,            ,131062518,0000000.0000,0000000.0,0.0,2.552351,141062518,0000000.0000,0000000.0,42917.96,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,22750.0,            ,131062718,0000000.0000,0000000.0,0.0,2.552351,141062718,0000000.0000,0000000.0,42667.97,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,23000.0,            ,131063018,0000000.0000,0000000.0,0.0,2.552351,141063018,0000000.0000,0000000.0,42417.99,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,23250.0,            ,131063218,0000000.0000,0000000.0,0.0,2.552351,141063218,0000000.0000,0000000.0,42168.01,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,23500.0,            ,131063518,0000000.0000,0000000.0,0.0,2.552351,141063518,0000000.0000,0000000.0,41918.02,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,23750.0,            ,131063718,0000000.0000,0000000.0,0.01,2.552351,141063718,0000000.0000,0000000.0,41668.04,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,24000.0,            ,131064018,0000000.0000,0000000.0,0.01,2.552351,141064018,0000000.0000,0000000.0,41418.06,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,24250.0,            ,131064218,0000000.0000,0000000.0,0.01,2.552351,141064218,0000000.0000,0000000.0,41168.07,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,24500.0,            ,131064518,0000000.0000,0000000.0,0.02,2.552351,141064518,0000000.0000,0000000.0,40918.09,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,24750.0,            ,131064718,0000000.0000,0000000.0,0.02,2.552351,141064718,0000000.0000,0000000.0,40668.11,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,25000.0,            ,131065018,0000000.0000,0000000.0,0.03,2.552351,141065018,0000000.0000,0000000.0,40418.13,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,25250.0,            ,131065218,0000000.0000,0000000.0,0.04,2.552351,141065218,0000000.0000,0000000.0,40168.16,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,25500.0,            ,131065518,0000000.0000,0000000.0,0.04,2.552351,141065518,0000000.0000,0000000.0,39918.18,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,25750.0,            ,131065718,0000000.0000,0000000.0,0.05,2.552351,141065718,0000000.0000,0000000.0,39668.21,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,26000.0,            ,131066018,0000000.0000,0000000.0,0.07,2.552351,141066018,0000000.0000,0000000.0,39418.23,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,26250.0,            ,131066218,0000000.0000,0000000.0,0.08,2.552351,141066218,0000000.0000,0000000.0,39168.26,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,26500.0,            ,131066518,0000000.0000,0000000.0,0.1,2.552351,141066518,0000000.0000,0000000.0,38918.29,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,26750.0,            ,131066718,0000000.0000,0000000.0,0.12,2.552351,141066718,0000000.0000,0000000.0,38668.33,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,27000.0,            ,131067018,0000000.0000,0000000.0,0.14,2.552351,141067018,0000000.0000,0000000.0,38418.37,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,27250.0,            ,131067218,0000000.0000,0000000.0,0.17,2.552351,141067218,0000000.0000,0000000.0,38168.41,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,27500.0,            ,131067518,0000000.0000,0000000.0,0.2,2.552351,141067518,0000000.0000,0000000.0,37918.46,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,27750.0,            ,181067718,0000000.0000,0000000.0,0.24,2.552351,191067718,0000000.0000,0000000.0,37668.51,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,28000.0,            ,181068018,0000000.0000,0000000.0,0.29,2.552351,191068018,0000000.0000,0000000.0,37418.57,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,28250.0,            ,181068218,0000000.0000,0000000.0,0.34,2.552351,191068218,0000000.0000,0000000.0,37168.64,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,28500.0,            ,181068518,0000000.0000,0000000.0,0.4,2.552351,191068518,0000000.0000,0000000.0,36918.71,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,28750.0,            ,181068718,0000000.0000,0000000.0,0.47,2.552351,191068718,0000000.0000,0000000.0,36668.79,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,29000.0,            ,181069018,0000000.0000,0000000.0,0.55,2.552351,191069018,0000000.0000,0000000.0,36418.89,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,29250.0,            ,181069218,0000000.0000,0000000.0,0.64,2.552351,191069218,0000000.0000,0000000.0,36168.99,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,29500.0,            ,181069518,0000000.0000,0000000.0,0.74,2.552351,191069518,0000000.0000,0000000.0,35919.11,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,29750.0,            ,181069718,0000000.0000,0000000.0,0.86,2.552351,191069718,0000000.0000,0000000.0,35669.24,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,30000.0,            ,181060018,0000001.0000,0000000.0,0.99,2.552351,191060018,0000000.0000,0000000.0,35419.39,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,30250.0,            ,181060218,0000000.0000,0000000.0,0.99,2.525818,191060218,0000000.0000,0000000.0,35169.4,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,30500.0,            ,181060518,0000000.0000,0000000.0,0.99,2.499727,191060518,0000000.0000,0000000.0,34919.42,0.01,65416.63,0.315,2026-06-01
NK225E    ,OOP,202606,30750.0,            ,181060718,0000000.0000,0000000.0,0.98,2.473931,191060718,0000000.0000,0000000.0,34669.43,0.01,65416.63,0.315,2026-06-01
