UnderlyingName,OptionType,ContractMonth,StrikePrice,Col5,CallSecurityCode,CallBid,CallAsk,CallClose,TheoreticalPrice,PutSecurityCode,PutBid,PutAsk,UnderlyingClose,IV,BaseVolatility,Delta,ContractMonthDt
NK225E    ,OOP,202606,12500.0,            ,181062518,0000000.0000,0000000.0,0.0,1.657781,191062518,0000000.0000,0000000.0,52504.55,0.01,64999.41,0.2943,2026-06-01
NK225E    ,OOP,202606,12750.0,            ,181062718,0000000.0000,0000000.0,0.0,1.657781,191062718,0000000.0000,0000000.0,52254.65,0.01,64999.41,0.2943,2026-06-01
NK225E    ,OOP,202606,13000.0,            ,181063018,0000000.0000,0000000.0,0.0,1.657781,191063018,0000000.0000,0000000.0,52004.76,0.01,64999.41,0.2943,2026-06-01
NK225E    ,OOP,202606,13250.0,            ,181063218,0000000.0000,0000000.0,0.0,1.657781,191063218,0000000.0000,0000000.0,51754.86,0.01,64999.41,0.2943,2026-06-01
NK225E    ,OOP,202606,13500.0,            ,181063518,0000000.0000,0000000.0,0.0,1.657781,191063518,0000000.0000,0000000.0,51504.96,0.01,64999.41,0.2943,2026-06-01
NK225E    ,OOP,202606,13750.0,            ,181063718,0000000.0000,0000000.0,0.0,1.657781,191063718,0000000.0000,0000000.0,51255.07,0.01,64999.41,0.2943,2026-06-01
NK225E    ,OOP,202606,14000.0,            ,181064018,0000000.0000,0000000.0,0.01,1.657781,191064018,0000000.0000,0000000.0,51005.17,0.01,64999.41,0.2943,2026-06-01
NK225E    ,OOP,202606,14250.0,            ,181064218,0000000.0000,0000000.0,0.01,1.657781,191064218,0000000.0000,0000000.0,50755.28,0.01,64999.41,0.2943,2026-06-01
NK225E    ,OOP,202606,14500.0,            ,181064518,0000000.0000,0000000.0,0.01,1.657781,191064518,0000000.0000,0000000.0,50505.39,0.01,64999.41,0.2943,2026-06-01
NK225E    ,OOP,202606,14750.0,            ,181064718,0000000.0000,0000000.0,0.02,1.657781,191064718,0000000.0000,0000000.0,50255.49,0.01,64999.41,0.2943,2026-06-01
NK225E    ,OOP,202606,15000.0,            ,181065018,0000000.0000,0000000.0,0.02,1.657781,191065018,0000000.0000,0000000.0,50005.6,0.01,64999.41,0.2943,2026-06-01
NK225E    ,OOP,202606,15250.0,            ,181065218,0000000.0000,0000000.0,0.03,1.657781,191065218,0000000.0000,0000000.0,49755.71,0.01,64999.41,0.2943,2026-06-01
NK225E    ,OOP,202606,15500.0,            ,181065518,0000000.0000,0000000.0,0.04,1.657781,191065518,0000000.0000,0000000.0,49505.82,0.01,64999.41,0.2943,2026-06-01
NK225E    ,OOP,202606,15750.0,            ,181065718,0000000.0000,0000000.0,0.05,1.657781,191065718,0000000.0000,0000000.0,49255.94,0.01,64999.41,0.2943,2026-06-01
NK225E    ,OOP,202606,16000.0,            ,181066018,0000000.0000,0000000.0,0.06,1.657781,191066018,0000000.0000,0000000.0,49006.05,0.01,64999.41,0.2943,2026-06-01
NK225E    ,OOP,202606,16250.0,            ,181066218,0000000.0000,0000000.0,0.08,1.657781,191066218,0000000.0000,0000000.0,48756.17,0.01,64999.41,0.2943,2026-06-01
NK225E    ,OOP,202606,16500.0,            ,181066518,0000000.0000,0000000.0,0.09,1.657781,191066518,0000000.0000,0000000.0,48506.29,0.01,64999.41,0.2943,2026-06-01
NK225E    ,OOP,202606,16750.0,            ,181066718,0000000.0000,0000000.0,0.12,1.657781,191066718,0000000.0000,0000000.0,48256.41,0.01,64999.41,0.2943,2026-06-01
